idnt_episodio,Nombre_episodio,idnt_show
1,Wikipodcast02 - Noticias 07/10,1
2,marihuana,2
3,Nadie Sabe Nada: Que la mascarilla no oculte la risa (04/07/2020),3
4,Como aman los pobres (Gata Cattana),4
5,Musica para dormir rápido,5
6,Chuva Suave para Dormir ,5
7,Hipnosis para Dormir 2021 🥱💤,6
8,Yoga para Dormir - Abrazo de Agua 🌊🫂✨,6
9,Rescate en crisis: audio de emergencia para mareos por ansiedad,7
10,RELAJACIÓN GUIADA PARA CALMAR ATAQUES DE ANSIEDAD,8
11,S.O.S: audio de emergencia para ataques de pánico,7
12,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,9
13,INSALUD MENTAL | La Pija y la Quinqui 1x02,9
14,ADICTOS AL AMOR | La Pija y la Quinqui 1x03,9
15,ADULTEANDO A MEDIAS | La Pija y la Quinqui 1x04,9
16,LA ZONA SIN COMFORT | La Pija y la Quinqui 1x05,9
17,NO QUIERO SUPERARLO | La Pija y la Quinqui 1x06,9
18,LA CONTRARREFORMA SEXUAL | La Pija y la Quinqui 1x07,9
19,UN CINCO SON 6 CRÉDITOS | La Pija y la Quinqui 1x08,9
20,NO SOMOS TAN BUENAS | La Pija y la Quinqui 1x09,9
21,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",10
22,HAZLO POR LA ANÉCDOTA | La Pija y la Quinqui 1x10,9
23,MIX REGGAETON CLÁSICO,10
24,TÓMATELO CON HUMOR | La Pija y la Quinqui 1x11,9
25,MIX ACDC DJBM,10
26,NACIDAS PARA PECAR | La Pija y la Quinqui 1x12,9
27,Supresor de ATAQUE DE PÁNICO ⚠,6
28,RÍNDETE | La Pija y la Quinqui 1x13,9
29,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",11
30,INDIES DE MIERDA | La Pija y la Quinqui 1x14,9
31,CUANDO ZARPA EL AMOR | La Pija y la Quinqui 1x15,9
32,Música para estudiar y memorizar con todo el cerebro.,12
33,AUTODESCUIDADOS | La Pija y la Quinqui 1x16,9
34,LA SOLEDAD | La Pija y la Quinqui 1x17,9
35,PEQUEÑAS MENTIROSAS | La Pija y la Quinqui 1x18,9
36,DEL MONTÓN BUENO | La Pija y la Quinqui 1x19,9
37,COMPLACIENTES | La Pija y la Quinqui 1x20,9
38,No.056 - Música de piano para estudiar,13
39,REFERENTES | La Pija y la Quinqui 1x21,9
40,ABURRIDAS | La Pija y la Quinqui 1x22,9
41,FIESTA LA QUE TE VA A DAR ESTA | La Pija y la Quinqui 1x23,9
42,CUENTA TU VERDAD | La Pija y la Quinqui 1x24,9
43,Sueño Profundo y Reparación Con Antiestrés,14
44,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",15
45,Power Focus - 14Hz Beta Waves that Improve Concentration and Focus,16
46,Study Music Intensify your learning Relax studying,17
47,The Best Sleep Music 5 Relaxing Tracks Guaranteed To Help You Get To Sleep,17
48,No.027 - Sonidos para quitar miedo y ansiedad,13
49,Estudiemos Juntos 📚✨ 2 hs + 20' descanso,6
50,study with me | 2 hour pomodoro session with breaks ˚* ੈ✩‧₊,18
51,Hipnosis para dormir rápido y sin preocupaciones 🧘🎈✨,6
52,Duerme sin ansiedad,19
53,MÚSICA RELAJANTE PARA DORMIR en 8D para aliviar DOLORES MUSCULARES- Frecuencia Solfeggio 190hz,20
54,2 horas de Ruido Blanco para siesta de tu bebé,21
55,FALL INTO SLEEP INSTANTLY ★︎ Relaxing Music to Reduce Anxiety and Help You Sleep ★︎ Meditation,22
56,Powerful Binaural Beats Delta Waves + 432 Hz For Deep Sleep,11
57,Hipnosis para dormir rápido 🧞✨,6
58,"1. Meditación para dormir profundamente, relajación guiada.",23
59,El Faro | Bucle,24
60,BELARRIJANA 01 - Meta-belarrijana. Titanic eta politizazioa,25
61,Desorden mental. 6 de enero de 1968.,26
62,"Franz Kafka: su vida, su obra, su tiempo (I): Vida y tiempo de Kafka",27
63,Sanación y Milagros Sobrenaturales/ Historias Reales ,14
64,Un libro una hora: El jugador - Fiódor Dostoyevski (28/02/2021),28
65,Las 4 claves para ser emocionalmente inteligente,29
